date,username,text
2018-10-29 03:33:46,makerandwolves,Sweet.....
2018-10-27 10:43:31,darlinginteriors,"Soo absolutely perfect, great page😍🌷 Interested in being featured on our page next? Message us for more!!"
2019-01-25 21:49:28,khairrulaziz,😍😍😍
2018-11-12 22:59:00,gonatgoh,Thanks for the great after sales service! Love my dining table even more now! ☺️
2018-12-11 07:49:00,dewykitty,I spot my gorgeous table! So so glad we got it yesterday. Thanks samantha!
2018-11-28 07:58:58,balboadesigngroup,Nice! 😍
2019-11-22 09:34:58,ankita.sethia,"Hello, could you tell me the dimensions of this table please?"
2018-12-17 01:25:30,ezreal_avakin,great post @greyandsanders do you have a blog?
2018-12-14 12:06:19,justgrowmyhair,Outstanding!😊🙌
2018-12-15 12:00:29,penandnapkinorg,Niceeeeee!
2018-12-15 11:33:13,artsandalyecom,Gt
2018-12-15 11:29:57,jadekatyhome,great style 😎
2018-12-26 02:47:41,bukonero,Like this posting.
2018-12-26 21:52:10,ourpinkproject,👌👌
2019-01-06 15:25:31,interiors4inspo,"Yes, perfect & lovely!😻💘 Wanna be featured in our gallery? DM me to get more info!"
2019-01-07 18:59:42,greyandsanders,#hometips #greyandsanders #leathersofa #leather #sofa #know #qualityfurniture #furniture #fullgrainleather #topgrainleather #homeinterior
2019-01-09 13:12:08,greyandsanders,#coffeetable #livingroom #art #uniquehomes #blackwalnut #wood #oneofakind #greyandsanders
2019-01-14 21:07:35,woodplay.home,Nice
2019-01-21 07:07:21,smokingcabinsg,"greyandsanders, that looks great!"
2019-01-18 17:04:53,greyandsanders,#greyandsanders #unique #carpet #leatherwork #livingroomdecor #homeanddecorsg #singapore #tanboonliatbuilding #style
2019-01-21 19:13:26,greyandsanders,#greyandsanders #homedecor #oak #dining #homedesign #singapore #furnituredesign #interiordesign #tanboonliatbuilding #design
2019-02-07 06:02:22,moduscg,👏👏👏👏!!!
2019-01-29 13:30:49,greyandsanders,#greyandsanders #homedecor #walnut #bench #dining #living #coffeetable #homedesign #singapore #furnituredesign #interiordesign #tanboonliatbuilding #design #solidwoodfurniture
2019-01-29 13:31:01,greyandsanders,#greyandsanders #homedecor #walnut #bench #dining #living #coffeetable #homedesign #singapore #furnituredesign #interiordesign #tanboonliatbuilding #design #solidwoodfurniture
2019-03-10 20:32:14,mokkomokko_sg,Looking great ❤️ Don't miss our beautiful hand crafted timber furniture that suits your home at www.mokkomokko.com ❤️
2019-01-31 21:17:14,abby_ning,Housewarming soon pls!! @vianisme22 @stitchedtomatoes
2019-01-31 12:03:09,cnlow,Omg..sibeh niceeeeee 👍
2019-01-31 15:49:24,inspofordesign,😎
2019-07-19 08:46:34,_ohanadidil_,This one nicerz @ezwani
2019-02-03 10:30:01,loomandair,Love it 🙏🙌
2019-02-02 15:07:29,jennytwong,i really love how tou moved away from the typical hdb styles...is that table from ikea?
2019-02-10 12:13:07,greyandsanders,#greyandsanders #sofas #home #singapore🇸🇬 #decor #interiors #interiordesign #furniture #design #homedecor #luxury #style #handmade #livingroom #modern #bedroom #inspiration #homeanddecorsg
2019-02-10 12:13:16,greyandsanders,#greyandsanders #sofas #home #singapore🇸🇬 #decor #interiors #interiordesign #furniture #design #homedecor #luxury #style #handmade #livingroom #modern #bedroom #inspiration #homeanddecorsg
2019-03-27 15:33:39,myeverydayholiday,"Keep it up, great account"
2019-02-10 12:13:24,greyandsanders,#greyandsanders #sofas #home #singapore🇸🇬 #decor #interiors #interiordesign #furniture #design #homedecor #luxury #style #handmade #livingroom #modern #bedroom #inspiration #homeanddecorsg
2019-02-22 20:10:20,zsoofiahorvath,🙌
2019-02-19 19:02:13,greyandsanders,#greyandsanders #homeinterior #singapore🇸🇬 #decor #interiors #interiordesign #furniture #design #homedecor #luxury #style #handmade #diningtable #diningroom #modern #wood #inspiration #homeanddecorsg
2019-07-02 20:13:05,greyandsanders,@jessdiary one of our beloved customer bought a bench and cut it into 2 to make them into their end tables. The approximate sizes are 70cm x 35cm x 45cm
2019-07-01 13:31:41,jessdiary,What is the size of this coffee table? And how much ? 😍
2019-03-12 09:16:17,carpentersdesignsg,👍👍👍👍
2019-03-02 23:03:50,homedesigntrending,"Yes, really cute and dazzling🌺😍 Are you interested in being on our page? Direct message me to get more info!"
2019-03-02 14:45:25,carpo.singapore,Let me know if you are looking for nice flowers! 😊
2019-03-02 04:14:58,angwara_kitchen,Do you like Thai food? 🍤🍚🍳
2019-03-01 22:38:17,greyandsanders,We yse a few different finishes. Both synthetic PU lacquer and natural oil finishes. It really depends on what you want out of your final product. Do come down to our store to find out more!
2019-03-01 19:06:55,greyandsanders,#greyandsanders #inspiration #homeinterior #homedecor #homeanddecorsg #inspo #singapore🇸🇬 #sghome #modern #modernhomes #igsg #handmade #coffeetable #furniture #design #homerenovation #instagram #instasg #diningroom #wood #woodtables #style #luxurylifestyle
2019-03-07 08:09:41,tenkaichi.sg,Do you like Japanese food? 🍗🍱🍣
2019-03-05 19:21:20,greyandsanders,#greyandsanders #inspiration #homeinterior #homedecor #homeanddecorsg #inspo #inspiration #singapore🇸🇬 #sghome #modern #modernhomes #igsg #handmade #diningroom #dining #diningtable #furniture #design #furnituredesign #furnituremakeover ##homerenovation #instagram #instasg #wood #woodtables #style #luxurylifestyle #walnut #want
2019-04-05 18:49:35,greyandsanders,#interiordesign #homeinterior #interiordecor #homegoals #sghomes #sghomedecor #homeinspo #inspiration #homedecor #singapore🇸🇬 #sghome #sg #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #furnituremakeover #homerenovation #luxury #luxurylifestyle #want #instagram
2019-04-05 18:06:59,fitezianka,❤️💛❤️💛
2019-04-16 20:24:16,trendyhomecollective,"Incredibly chic, lovely colors🌹💓 Would you like to be featured on our feed? Get in touch with me for more!"
2019-04-16 19:18:57,greyandsanders,#instasg #interiors #igsg #homeinspo #homeinterior #homedecor #singapore🇸🇬 #inspo #interiordesign #instagram #inspiration #livingroom #livingroomdecor #livingroomideas #furnituremakeover #furnituredesign #sofas #style #decor #luxurylifestyle #sleep #read #life #lifestyle
2019-04-21 20:05:13,selected.living,Could you  DM me the price please
2019-04-21 14:44:10,barsheleg,😃
2019-04-25 20:11:32,sabina.interiors,I love that! 💓
2019-04-24 18:53:16,greyandsanders,#interiordesign #homeinterior #interiordeco #homegoals #sghomes #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #furnituremakeover #homerenovation #luxury #luxurylifestyle #instagram
2019-04-24 17:50:40,porte_store,Like It so much! 😍
2019-04-30 18:53:26,back2linen,This is beautiful! ❤️
2019-04-30 18:53:07,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-07-21 21:43:52,_farahzieda,Hi how much is the cost for this type of dining set?
2019-05-06 22:25:06,myheavenluxe,Is having the best sleep important to you? 😴
2019-05-06 17:48:09,healthyishandhappy,Booster chairs and all 😂. My family & I love our table.  Thank you!!
2019-05-06 17:42:48,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-05-13 13:57:35,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-05-16 13:08:32,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-08-02 17:31:16,troublemakerfifi,Is this customizable as an L shaped?
2019-07-20 13:23:57,apple_0f_my_eye,Hi. How much is this sofa
2019-05-22 16:39:23,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-05-22 15:56:28,snow.architektur,beautiful!
2019-05-30 17:34:37,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-08-16 15:18:51,greyandsanders,Hi everyone! Thank you for your continued support. Kindly take note that the above pictured Sienna sofa is actually our 5-Seater L-Shape Configuration! ☺️
2019-06-24 01:00:51,erinlaneestate,❤️
2019-06-20 02:15:32,nickalain,👍👋
2019-06-19 13:16:33,likelights_sg,Nice interior! Would be nicer with some lamps!
2019-06-18 20:09:18,ludo.shoes,❤️😊👍
2019-06-21 18:12:56,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2020-07-06 14:56:58,mrsinseasia,"Hi! Looking for a light wood table top as on this picture. Size ~ 180 x 90 cm. Please let me know if you have anything similar, thanks"
2020-04-22 08:57:13,ifajaxsha,"Hi, what’s the size and price for this set?"
2020-03-14 22:02:44,scarletstarxz,How much will this table be? And how many able to seat?
2019-06-27 15:31:12,cindylinmz,What goals do you look forward to in 2019? 😊
2019-06-26 23:31:23,nathiira07,How much is thjs
2019-06-26 22:05:34,paulinaong_,Hi how much is the table and chairs?
2019-06-26 17:56:02,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2020-07-04 21:57:09,amsterhamsterr,"@shawntoe hehe baby, buy for me!!!!"
2019-06-27 16:49:08,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-08-26 21:40:17,landerjaa,This is fantastic 🙌
2019-07-07 18:47:58,infinity28tn,whats the price range like
2019-07-06 12:08:38,greyandsanders,#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram
2019-07-16 12:10:43,greyandsanders,@rubiomonocoatsg you’re most welcome! It’s been a real pleasure using it 😌
2019-07-16 10:08:19,rubiomonocoatsg,Thank you for believing in our product! Fantastic article!
2019-07-12 15:56:08,greyandsanders,"#greyandsanders #solidwood #solidwoodfurniture #woodslabstable #blackwalnut #furniture #design #interiordesign #homeinterior #homedecor #interiordecor #homegoals #sghome #sghomedecor #homeinspo

#interiordesign #homeinteriors #interiordeco #homegoals #sghomedecor #homeinspo #inspiration #homedecor #singapore #design #igsg #instasg #livingroom #livingroomdecor #handmade #furnituredesign #luxury #luxurylifestyle #instagram"
2019-11-24 14:39:46,_seridiyanna_,Pm price
2019-10-07 23:52:33,kencana84,Hi can pm price and dimension?
2019-07-23 21:08:44,gamzemtop,Italian full grain jethro leather @toppinar @buseatdag
2019-07-21 09:00:48,amir_dominic,Italian full grain jethro leather @hazzzwaniiii
2019-07-19 16:22:06,stillness.peace,italian full grain jethro leather @lromancarrasco
2019-07-19 07:17:18,waynie_goh,Italian full grain Jethro leather🙏🏻👍🏻👌🏻
2019-07-18 19:34:49,elena_wy,"Italian full grain ""Jethro"" (full aniline) to be exact 😊"
2019-07-18 19:30:43,elena_wy,It's Italian Jethro leather! 😍 @yee_liang @awyongpohkuan @tingielicious @ivytayaiway @russasayang
2019-07-18 13:18:00,jhonker,"@greyandsanders may i invite your staff to @immmokkk. Knock on his door, anytime 24/7. Just don’t forget to bring the high grade natural leather sofa👍😊"
2019-07-18 09:44:04,immmokkk,Jethro leather! let me win so that my friends will have a sofa to sit at my home ❤️ @gnimoug @russellteoh @rezaarahman @jeremeeleong @jhonker @rog3rgoh
